日期,小时,模型方向,量级(元/MWh),置信度,小时先验,是否出手,交易建议,实际价差(元/MWh),方向核对,套利时机,套利结果,套利盈亏(元/MWh)
2026-07-26,00:00,中性,27.7,0.692,负,否,不动,-194.0,未出手,观望,错过 -194.0,0.0
2026-07-26,01:00,中性,24.8,0.743,负,否,不动,-70.2,未出手,观望,错过 -70.2,0.0
2026-07-26,02:00,中性,23.3,0.72,不明,否,不动,-38.6,未出手,观望,未出手,0.0
2026-07-26,03:00,中性,21.3,0.793,正,否,不动,-33.4,未出手,观望,未出手,0.0
2026-07-26,04:00,中性,16.7,0.822,正,否,不动,-15.2,未出手,观望,未出手,0.0
2026-07-26,05:00,中性,16.1,0.906,正,否,不动,-15.7,未出手,观望,未出手,0.0
2026-07-26,06:00,中性,13.8,0.837,不明,否,不动,-31.8,未出手,观望,未出手,0.0
2026-07-26,07:00,中性,19.8,0.768,不明,否,不动,-53.8,未出手,观望,错过 -53.8,0.0
2026-07-26,08:00,中性,21.8,0.59,不明,否,不动,2.4,未出手,观望,未出手,0.0
2026-07-26,09:00,中性,25.9,0.601,正,否,不动,14.4,未出手,观望,未出手,0.0
2026-07-26,10:00,中性,38.6,0.58,正,否,不动,40.9,未出手,观望,未出手,0.0
2026-07-26,11:00,中性,41.1,0.567,正,否,不动,-41.3,未出手,观望,未出手,0.0
2026-07-26,12:00,中性,43.6,0.535,正,否,不动,-33.3,未出手,观望,未出手,0.0
2026-07-26,13:00,中性,47.6,0.53,不明,否,不动,29.6,未出手,观望,未出手,0.0
2026-07-26,14:00,中性,48.5,0.567,正,否,不动,108.0,未出手,观望,错过 +108.0,0.0
2026-07-26,15:00,中性,48.5,0.535,正,否,不动,175.4,未出手,观望,错过 +175.4,0.0
2026-07-26,16:00,中性,46.5,0.414,正,否,不动,222.6,未出手,观望,错过 +222.6,0.0
2026-07-26,17:00,中性,45.9,0.463,不明,否,不动,206.0,未出手,观望,错过 +206.0,0.0
2026-07-26,18:00,中性,45.2,0.536,不明,否,不动,171.6,未出手,观望,错过 +171.6,0.0
2026-07-26,19:00,中性,45.3,0.584,不明,否,不动,94.7,未出手,观望,错过 +94.7,0.0
2026-07-26,20:00,中性,39.0,0.535,不明,否,不动,54.2,未出手,观望,错过 +54.2,0.0
2026-07-26,21:00,中性,36.6,0.561,负,否,不动,21.8,未出手,观望,未出手,0.0
2026-07-26,22:00,中性,42.7,0.608,不明,否,不动,40.5,未出手,观望,未出手,0.0
2026-07-26,23:00,中性,41.6,0.702,负,否,不动,42.6,未出手,观望,未出手,0.0
2026-07-27,00:00,中性,36.4,0.633,负,否,不动,-14.7,未出手,观望,未出手,0.0
2026-07-27,01:00,中性,31.4,0.608,负,否,不动,0.1,未出手,观望,未出手,0.0
2026-07-27,02:00,中性,27.8,0.664,不明,否,不动,2.9,未出手,观望,未出手,0.0
2026-07-27,03:00,中性,21.8,0.737,正,否,不动,12.7,未出手,观望,未出手,0.0
2026-07-27,04:00,中性,19.8,0.813,正,否,不动,-7.0,未出手,观望,未出手,0.0
2026-07-27,05:00,中性,16.6,0.829,正,否,不动,2.7,未出手,观望,未出手,0.0
2026-07-27,06:00,中性,18.7,0.795,不明,否,不动,-3.1,未出手,观望,未出手,0.0
2026-07-27,07:00,中性,25.6,0.696,不明,否,不动,-3.3,未出手,观望,未出手,0.0
2026-07-27,08:00,中性,29.5,0.501,不明,否,不动,-15.7,未出手,观望,未出手,0.0
2026-07-27,09:00,负偏差,39.9,0.424,正,否,不动,6.3,未出手,观望,未出手,0.0
2026-07-27,10:00,负偏差,46.9,0.533,正,否,不动,11.7,未出手,观望,未出手,0.0
2026-07-27,11:00,负偏差,63.3,0.588,正,是,日前卖/实时买,35.0,实际中性,日前卖,中性 +35.0,35.0
2026-07-27,12:00,负偏差,46.0,0.433,正,否,不动,20.8,未出手,观望,未出手,0.0
2026-07-27,13:00,负偏差,44.9,0.419,不明,否,不动,5.3,未出手,观望,未出手,0.0
2026-07-27,14:00,中性,53.6,0.469,正,是,日前卖/实时买,5.3,实际中性,日前卖,中性 +5.3,5.3
2026-07-27,15:00,中性,46.3,0.54,正,否,不动,-9.8,未出手,观望,未出手,0.0
2026-07-27,16:00,中性,46.8,0.499,正,否,不动,32.9,未出手,观望,未出手,0.0
2026-07-27,17:00,中性,38.2,0.449,不明,否,不动,29.6,未出手,观望,未出手,0.0
2026-07-27,18:00,中性,47.1,0.514,不明,否,不动,-10.7,未出手,观望,未出手,0.0
2026-07-27,19:00,中性,64.6,0.542,不明,否,不动,-2.3,未出手,观望,未出手,0.0
2026-07-27,20:00,中性,55.5,0.515,不明,否,不动,-1.2,未出手,观望,未出手,0.0
2026-07-27,21:00,中性,51.8,0.562,负,是,日前买/实时卖,-13.8,实际中性,日前买,中性 -13.8,13.8
2026-07-27,22:00,中性,60.7,0.634,不明,否,不动,-16.1,未出手,观望,未出手,0.0
2026-07-27,23:00,中性,35.6,0.693,负,否,不动,-10.0,未出手,观望,未出手,0.0
2026-07-28,00:00,中性,30.2,0.717,负,否,不动,-103.8,未出手,观望,错过 -103.8,0.0
2026-07-28,01:00,中性,20.3,0.781,负,否,不动,-10.0,未出手,观望,未出手,0.0
2026-07-28,02:00,中性,21.5,0.784,不明,否,不动,-22.0,未出手,观望,未出手,0.0
2026-07-28,03:00,中性,22.9,0.822,正,否,不动,-11.2,未出手,观望,未出手,0.0
2026-07-28,04:00,中性,15.0,0.886,正,否,不动,-3.9,未出手,观望,未出手,0.0
2026-07-28,05:00,中性,17.4,0.892,正,否,不动,-5.5,未出手,观望,未出手,0.0
2026-07-28,06:00,中性,17.4,0.869,不明,否,不动,-7.3,未出手,观望,未出手,0.0
2026-07-28,07:00,中性,33.8,0.879,不明,否,不动,-2.1,未出手,观望,未出手,0.0
2026-07-28,08:00,中性,37.2,0.749,不明,否,不动,3.0,未出手,观望,未出手,0.0
2026-07-28,09:00,中性,33.4,0.62,正,否,不动,-35.6,未出手,观望,未出手,0.0
2026-07-28,10:00,中性,44.7,0.612,正,否,不动,-232.5,未出手,观望,错过 -232.5,0.0
2026-07-28,11:00,中性,51.3,0.633,正,是,日前卖/实时买,-143.8,错·实际负,日前卖,亏损 -143.8,-143.8
2026-07-28,12:00,中性,49.3,0.62,正,否,不动,50.7,未出手,观望,错过 +50.7,0.0
2026-07-28,13:00,中性,41.7,0.642,不明,否,不动,48.1,未出手,观望,未出手,0.0
2026-07-28,14:00,中性,38.5,0.588,正,否,不动,20.1,未出手,观望,未出手,0.0
2026-07-28,15:00,中性,36.1,0.552,正,否,不动,36.2,未出手,观望,未出手,0.0
2026-07-28,16:00,正偏差,51.8,0.448,正,是,日前卖/实时买,35.0,实际中性,日前卖,中性 +35.0,35.0
2026-07-28,17:00,正偏差,51.8,0.404,不明,否,不动,24.2,未出手,观望,未出手,0.0
2026-07-28,18:00,正偏差,45.2,0.352,不明,否,不动,14.1,未出手,观望,未出手,0.0
2026-07-28,19:00,中性,35.5,0.465,不明,否,不动,25.9,未出手,观望,未出手,0.0
2026-07-28,20:00,中性,42.4,0.505,不明,否,不动,32.4,未出手,观望,未出手,0.0
2026-07-28,21:00,中性,39.3,0.504,负,否,不动,36.9,未出手,观望,未出手,0.0
2026-07-28,22:00,中性,30.8,0.653,不明,否,不动,38.9,未出手,观望,未出手,0.0
2026-07-28,23:00,中性,19.8,0.745,负,否,不动,21.8,未出手,观望,未出手,0.0
2026-07-29,00:00,中性,20.6,0.633,负,否,不动,23.9,未出手,观望,未出手,0.0
2026-07-29,01:00,中性,16.0,0.705,负,否,不动,20.3,未出手,观望,未出手,0.0
2026-07-29,02:00,中性,14.4,0.712,不明,否,不动,19.8,未出手,观望,未出手,0.0
2026-07-29,03:00,中性,12.8,0.705,正,否,不动,16.2,未出手,观望,未出手,0.0
2026-07-29,04:00,中性,12.8,0.775,正,否,不动,12.7,未出手,观望,未出手,0.0
2026-07-29,05:00,中性,15.1,0.831,正,否,不动,10.4,未出手,观望,未出手,0.0
2026-07-29,06:00,中性,24.0,0.753,不明,否,不动,22.4,未出手,观望,未出手,0.0
2026-07-29,07:00,中性,30.0,0.742,不明,否,不动,11.7,未出手,观望,未出手,0.0
2026-07-29,08:00,中性,46.9,0.672,不明,否,不动,20.5,未出手,观望,未出手,0.0
2026-07-29,09:00,中性,43.1,0.461,正,否,不动,42.0,未出手,观望,未出手,0.0
