日期,小时,模型方向,量级(元/MWh),置信度,小时先验,是否出手,交易建议,实际价差(元/MWh),方向核对,套利时机,套利结果,套利盈亏(元/MWh)
2026-08-02,00:00,中性,47.5,0.709,负,否,不动,-18.6,未出手,观望,未出手,0.0
2026-08-02,01:00,中性,21.0,0.912,负,否,不动,-2.8,未出手,观望,未出手,0.0
2026-08-02,02:00,中性,10.5,0.948,不明,否,不动,-4.5,未出手,观望,未出手,0.0
2026-08-02,03:00,中性,8.5,0.964,正,否,不动,-1.8,未出手,观望,未出手,0.0
2026-08-02,04:00,中性,8.7,0.966,正,否,不动,-10.0,未出手,观望,未出手,0.0
2026-08-02,05:00,中性,9.7,0.961,正,否,不动,-25.1,未出手,观望,未出手,0.0
2026-08-02,06:00,中性,9.6,0.964,不明,否,不动,-23.4,未出手,观望,未出手,0.0
2026-08-02,07:00,中性,13.1,0.901,不明,否,不动,-44.2,未出手,观望,未出手,0.0
2026-08-02,08:00,中性,22.9,0.804,不明,否,不动,-26.9,未出手,观望,未出手,0.0
2026-08-02,09:00,中性,21.8,0.734,正,否,不动,45.9,未出手,观望,未出手,0.0
2026-08-02,10:00,中性,35.5,0.691,正,否,不动,25.4,未出手,观望,未出手,0.0
2026-08-02,11:00,中性,30.2,0.636,正,否,不动,-9.9,未出手,观望,未出手,0.0
2026-08-02,12:00,中性,27.4,0.725,正,否,不动,-7.4,未出手,观望,未出手,0.0
2026-08-02,13:00,中性,26.5,0.663,不明,否,不动,26.4,未出手,观望,未出手,0.0
2026-08-02,14:00,中性,22.5,0.568,正,否,不动,14.7,未出手,观望,未出手,0.0
2026-08-02,15:00,中性,27.4,0.664,正,否,不动,15.9,未出手,观望,未出手,0.0
2026-08-02,16:00,中性,40.7,0.653,正,否,不动,21.7,未出手,观望,未出手,0.0
2026-08-02,17:00,中性,35.9,0.71,不明,否,不动,11.2,未出手,观望,未出手,0.0
2026-08-02,18:00,中性,31.7,0.707,不明,否,不动,7.4,未出手,观望,未出手,0.0
2026-08-02,19:00,中性,38.5,0.777,不明,否,不动,5.8,未出手,观望,未出手,0.0
2026-08-02,20:00,中性,41.7,0.777,不明,否,不动,-4.0,未出手,观望,未出手,0.0
2026-08-02,21:00,中性,34.7,0.749,负,否,不动,2.5,未出手,观望,未出手,0.0
2026-08-02,22:00,中性,29.4,0.735,不明,否,不动,3.0,未出手,观望,未出手,0.0
2026-08-02,23:00,中性,17.0,0.861,不明,否,不动,-1.8,未出手,观望,未出手,0.0
2026-08-03,00:00,中性,42.9,0.737,负,否,不动,-7.3,未出手,观望,未出手,0.0
2026-08-03,01:00,中性,32.0,0.731,负,否,不动,-4.9,未出手,观望,未出手,0.0
2026-08-03,02:00,中性,27.3,0.881,不明,否,不动,-1.0,未出手,观望,未出手,0.0
2026-08-03,03:00,中性,25.7,0.884,正,否,不动,2.8,未出手,观望,未出手,0.0
2026-08-03,04:00,中性,26.0,0.916,正,否,不动,4.8,未出手,观望,未出手,0.0
2026-08-03,05:00,中性,17.3,0.928,正,否,不动,17.9,未出手,观望,未出手,0.0
2026-08-03,06:00,中性,18.8,0.956,不明,否,不动,10.1,未出手,观望,未出手,0.0
2026-08-03,07:00,中性,26.7,0.913,不明,否,不动,4.3,未出手,观望,未出手,0.0
2026-08-03,08:00,中性,30.7,0.818,不明,否,不动,0.4,未出手,观望,未出手,0.0
2026-08-03,09:00,中性,32.4,0.799,正,否,不动,-19.5,未出手,观望,未出手,0.0
2026-08-03,10:00,中性,26.0,0.788,正,否,不动,-2.1,未出手,观望,未出手,0.0
2026-08-03,11:00,中性,23.2,0.687,正,否,不动,34.2,未出手,观望,未出手,0.0
2026-08-03,12:00,中性,22.3,0.546,正,否,不动,52.1,未出手,观望,错过 +52.1,0.0
2026-08-03,13:00,中性,33.9,0.65,不明,否,不动,22.0,未出手,观望,未出手,0.0
2026-08-03,14:00,中性,31.7,0.636,正,否,不动,-8.4,未出手,观望,未出手,0.0
2026-08-03,15:00,中性,26.3,0.723,正,否,不动,-14.0,未出手,观望,未出手,0.0
2026-08-03,16:00,中性,51.1,0.687,正,否,不动,-128.0,未出手,观望,错过 -128.0,0.0
2026-08-03,17:00,中性,46.8,0.507,不明,否,不动,-117.6,未出手,观望,错过 -117.6,0.0
2026-08-03,18:00,中性,44.7,0.621,不明,否,不动,-39.9,未出手,观望,未出手,0.0
2026-08-03,19:00,中性,48.8,0.45,不明,否,不动,-73.6,未出手,观望,错过 -73.6,0.0
2026-08-03,20:00,负偏差,44.7,0.448,不明,否,不动,-82.6,未出手,观望,错过 -82.6,0.0
2026-08-03,21:00,中性,36.0,0.538,负,否,不动,-11.9,未出手,观望,未出手,0.0
2026-08-03,22:00,中性,31.7,0.755,不明,否,不动,-3.0,未出手,观望,未出手,0.0
2026-08-03,23:00,中性,18.5,0.861,不明,否,不动,-10.8,未出手,观望,未出手,0.0
2026-08-04,00:00,中性,20.6,0.83,负,否,不动,,待实际,观望,待实际,
2026-08-04,01:00,中性,20.9,0.859,负,否,不动,,待实际,观望,待实际,
2026-08-04,02:00,中性,19.1,0.899,不明,否,不动,,待实际,观望,待实际,
2026-08-04,03:00,中性,17.4,0.909,正,否,不动,,待实际,观望,待实际,
2026-08-04,04:00,中性,21.6,0.938,正,否,不动,,待实际,观望,待实际,
2026-08-04,05:00,中性,17.6,0.95,正,否,不动,,待实际,观望,待实际,
2026-08-04,06:00,中性,19.8,0.954,不明,否,不动,,待实际,观望,待实际,
