日期,小时,模型方向,量级(元/MWh),置信度,小时先验,是否出手,交易建议,实际价差(元/MWh),方向核对,套利时机,套利结果,套利盈亏(元/MWh)
2026-08-01,00:00,中性,29.2,0.786,负,否,不动,-5.5,未出手,观望,未出手,0.0
2026-08-01,01:00,中性,10.8,0.876,负,否,不动,7.2,未出手,观望,未出手,0.0
2026-08-01,02:00,中性,6.6,0.956,不明,否,不动,12.3,未出手,观望,未出手,0.0
2026-08-01,03:00,中性,5.5,0.966,正,否,不动,16.1,未出手,观望,未出手,0.0
2026-08-01,04:00,中性,6.5,0.977,正,否,不动,9.3,未出手,观望,未出手,0.0
2026-08-01,05:00,中性,6.3,0.972,正,否,不动,13.3,未出手,观望,未出手,0.0
2026-08-01,06:00,中性,9.3,0.972,不明,否,不动,5.9,未出手,观望,未出手,0.0
2026-08-01,07:00,中性,8.6,0.956,不明,否,不动,6.3,未出手,观望,未出手,0.0
2026-08-01,08:00,中性,10.4,0.921,不明,否,不动,28.7,未出手,观望,未出手,0.0
2026-08-01,09:00,中性,22.7,0.92,正,否,不动,39.7,未出手,观望,未出手,0.0
2026-08-01,10:00,中性,32.3,0.886,正,否,不动,68.6,未出手,观望,错过 +68.6,0.0
2026-08-01,11:00,中性,24.5,0.796,正,否,不动,41.7,未出手,观望,未出手,0.0
2026-08-01,12:00,中性,31.9,0.701,正,否,不动,73.3,未出手,观望,错过 +73.3,0.0
2026-08-01,13:00,中性,42.1,0.714,不明,否,不动,65.1,未出手,观望,错过 +65.1,0.0
2026-08-01,14:00,中性,40.7,0.864,正,否,不动,52.6,未出手,观望,错过 +52.6,0.0
2026-08-01,15:00,中性,28.9,0.839,正,否,不动,55.3,未出手,观望,错过 +55.3,0.0
2026-08-01,16:00,中性,38.1,0.715,正,否,不动,13.0,未出手,观望,未出手,0.0
2026-08-01,17:00,中性,50.7,0.755,不明,否,不动,15.8,未出手,观望,未出手,0.0
2026-08-01,18:00,中性,41.4,0.753,不明,否,不动,-7.9,未出手,观望,未出手,0.0
2026-08-01,19:00,中性,31.6,0.624,不明,否,不动,15.3,未出手,观望,未出手,0.0
2026-08-01,20:00,中性,26.9,0.735,不明,否,不动,7.6,未出手,观望,未出手,0.0
2026-08-01,21:00,中性,25.5,0.774,负,否,不动,14.4,未出手,观望,未出手,0.0
2026-08-01,22:00,中性,23.2,0.845,不明,否,不动,7.8,未出手,观望,未出手,0.0
2026-08-01,23:00,中性,11.6,0.926,不明,否,不动,-1.9,未出手,观望,未出手,0.0
2026-08-02,00:00,中性,32.4,0.76,负,否,不动,-18.6,未出手,观望,未出手,0.0
2026-08-02,01:00,中性,25.5,0.903,负,否,不动,-2.8,未出手,观望,未出手,0.0
2026-08-02,02:00,中性,20.6,0.888,不明,否,不动,-4.5,未出手,观望,未出手,0.0
2026-08-02,03:00,中性,24.4,0.89,正,否,不动,-1.8,未出手,观望,未出手,0.0
2026-08-02,04:00,中性,25.0,0.902,正,否,不动,-10.0,未出手,观望,未出手,0.0
2026-08-02,05:00,中性,26.3,0.908,正,否,不动,-25.1,未出手,观望,未出手,0.0
2026-08-02,06:00,中性,20.1,0.891,不明,否,不动,-23.4,未出手,观望,未出手,0.0
2026-08-02,07:00,中性,25.6,0.855,不明,否,不动,-44.2,未出手,观望,未出手,0.0
2026-08-02,08:00,中性,37.3,0.731,不明,否,不动,-26.9,未出手,观望,未出手,0.0
2026-08-02,09:00,中性,41.2,0.792,正,否,不动,45.9,未出手,观望,未出手,0.0
2026-08-02,10:00,中性,42.8,0.782,正,否,不动,25.4,未出手,观望,未出手,0.0
2026-08-02,11:00,中性,38.1,0.79,正,否,不动,-9.9,未出手,观望,未出手,0.0
2026-08-02,12:00,中性,31.7,0.797,正,否,不动,-7.4,未出手,观望,未出手,0.0
2026-08-02,13:00,中性,35.7,0.771,不明,否,不动,26.4,未出手,观望,未出手,0.0
2026-08-02,14:00,中性,32.0,0.684,正,否,不动,14.7,未出手,观望,未出手,0.0
2026-08-02,15:00,中性,50.3,0.714,正,否,不动,15.9,未出手,观望,未出手,0.0
2026-08-02,16:00,中性,35.0,0.609,正,否,不动,21.7,未出手,观望,未出手,0.0
2026-08-02,17:00,中性,39.8,0.611,不明,否,不动,11.2,未出手,观望,未出手,0.0
2026-08-02,18:00,中性,39.2,0.598,不明,否,不动,7.4,未出手,观望,未出手,0.0
2026-08-02,19:00,中性,36.7,0.591,不明,否,不动,5.8,未出手,观望,未出手,0.0
2026-08-02,20:00,中性,35.7,0.494,不明,否,不动,-4.0,未出手,观望,未出手,0.0
2026-08-02,21:00,中性,47.2,0.446,负,否,不动,2.5,未出手,观望,未出手,0.0
2026-08-02,22:00,中性,41.8,0.59,不明,否,不动,3.0,未出手,观望,未出手,0.0
2026-08-02,23:00,中性,24.9,0.715,不明,否,不动,-1.8,未出手,观望,未出手,0.0
2026-08-03,00:00,中性,19.2,0.758,负,否,不动,-7.3,未出手,观望,未出手,0.0
2026-08-03,01:00,中性,15.1,0.844,负,否,不动,-4.9,未出手,观望,未出手,0.0
2026-08-03,02:00,中性,14.8,0.873,不明,否,不动,-1.0,未出手,观望,未出手,0.0
2026-08-03,03:00,中性,15.5,0.861,正,否,不动,2.8,未出手,观望,未出手,0.0
2026-08-03,04:00,中性,16.2,0.813,正,否,不动,4.8,未出手,观望,未出手,0.0
2026-08-03,05:00,中性,13.1,0.855,正,否,不动,17.9,未出手,观望,未出手,0.0
2026-08-03,06:00,中性,12.1,0.925,不明,否,不动,10.1,未出手,观望,未出手,0.0
2026-08-03,07:00,中性,22.9,0.889,不明,否,不动,4.3,未出手,观望,未出手,0.0
2026-08-03,08:00,中性,40.9,0.879,不明,否,不动,0.4,未出手,观望,未出手,0.0
2026-08-03,09:00,中性,42.5,0.857,正,否,不动,-19.5,未出手,观望,未出手,0.0
