日期,小时,模型方向,量级(元/MWh),置信度,小时先验,是否出手,交易建议,实际价差(元/MWh),方向核对,套利时机,套利结果,套利盈亏(元/MWh)
2026-07-31,22:00,正偏差,24.4,0.357,不明,否,不动,27.4,未出手,观望,未出手,0.0
2026-07-31,23:00,负偏差,20.6,0.392,不明,否,不动,19.8,未出手,观望,未出手,0.0
2026-08-01,00:00,负偏差,28.1,0.392,负,否,不动,-5.5,未出手,观望,未出手,0.0
2026-08-01,01:00,负偏差,30.2,0.392,负,否,不动,7.2,未出手,观望,未出手,0.0
2026-08-01,02:00,负偏差,32.3,0.363,不明,否,不动,12.3,未出手,观望,未出手,0.0
2026-08-01,03:00,负偏差,26.4,0.355,正,否,不动,16.1,未出手,观望,未出手,0.0
2026-08-01,04:00,负偏差,32.7,0.364,正,否,不动,9.3,未出手,观望,未出手,0.0
2026-08-01,05:00,正偏差,28.5,0.348,正,否,不动,13.3,未出手,观望,未出手,0.0
2026-08-01,06:00,负偏差,29.7,0.355,不明,否,不动,5.9,未出手,观望,未出手,0.0
2026-08-01,07:00,负偏差,40.0,0.354,不明,否,不动,6.3,未出手,观望,未出手,0.0
2026-08-01,08:00,负偏差,29.2,0.362,不明,否,不动,28.7,未出手,观望,未出手,0.0
2026-08-01,09:00,负偏差,21.0,0.372,正,否,不动,39.7,未出手,观望,未出手,0.0
2026-08-01,10:00,负偏差,19.2,0.344,正,否,不动,68.6,未出手,观望,错过 +68.6,0.0
2026-08-01,11:00,正偏差,26.5,0.337,正,否,不动,41.7,未出手,观望,未出手,0.0
2026-08-01,12:00,正偏差,28.1,0.366,正,否,不动,73.3,未出手,观望,错过 +73.3,0.0
2026-08-01,13:00,正偏差,27.9,0.347,不明,否,不动,65.1,未出手,观望,错过 +65.1,0.0
2026-08-01,14:00,正偏差,36.1,0.347,正,否,不动,52.6,未出手,观望,错过 +52.6,0.0
2026-08-01,15:00,负偏差,41.9,0.362,正,否,不动,55.3,未出手,观望,错过 +55.3,0.0
2026-08-01,16:00,负偏差,33.6,0.362,正,否,不动,13.0,未出手,观望,未出手,0.0
2026-08-01,17:00,负偏差,43.3,0.362,不明,否,不动,15.8,未出手,观望,未出手,0.0
2026-08-01,18:00,负偏差,40.9,0.361,不明,否,不动,-7.9,未出手,观望,未出手,0.0
2026-08-01,19:00,负偏差,46.8,0.361,不明,否,不动,15.3,未出手,观望,未出手,0.0
2026-08-01,20:00,负偏差,50.5,0.361,不明,否,不动,7.6,未出手,观望,未出手,0.0
2026-08-01,21:00,负偏差,40.3,0.361,负,否,不动,14.4,未出手,观望,未出手,0.0
2026-08-01,22:00,负偏差,38.6,0.361,不明,否,不动,7.8,未出手,观望,未出手,0.0
2026-08-01,23:00,负偏差,23.1,0.381,不明,否,不动,-1.9,未出手,观望,未出手,0.0
2026-08-02,00:00,负偏差,29.9,0.381,负,否,不动,-18.6,未出手,观望,未出手,0.0
2026-08-02,01:00,负偏差,24.1,0.371,负,否,不动,-2.8,未出手,观望,未出手,0.0
2026-08-02,02:00,负偏差,21.6,0.371,不明,否,不动,-4.5,未出手,观望,未出手,0.0
2026-08-02,03:00,正偏差,27.9,0.338,正,否,不动,-1.8,未出手,观望,未出手,0.0
2026-08-02,04:00,负偏差,23.4,0.352,正,否,不动,-10.0,未出手,观望,未出手,0.0
2026-08-02,05:00,正偏差,21.7,0.337,正,否,不动,-25.1,未出手,观望,未出手,0.0
2026-08-02,06:00,负偏差,22.8,0.343,不明,否,不动,-23.4,未出手,观望,未出手,0.0
2026-08-02,07:00,负偏差,30.5,0.343,不明,否,不动,-44.2,未出手,观望,未出手,0.0
2026-08-02,08:00,负偏差,40.0,0.353,不明,否,不动,-26.9,未出手,观望,未出手,0.0
2026-08-02,09:00,负偏差,37.7,0.344,正,否,不动,45.9,未出手,观望,未出手,0.0
2026-08-02,10:00,负偏差,38.8,0.356,正,否,不动,25.4,未出手,观望,未出手,0.0
2026-08-02,11:00,负偏差,35.3,0.356,正,否,不动,-9.9,未出手,观望,未出手,0.0
2026-08-02,12:00,正偏差,36.8,0.356,正,否,不动,-7.4,未出手,观望,未出手,0.0
2026-08-02,13:00,正偏差,41.8,0.337,不明,否,不动,26.4,未出手,观望,未出手,0.0
2026-08-02,14:00,正偏差,34.6,0.346,正,否,不动,14.7,未出手,观望,未出手,0.0
2026-08-02,15:00,正偏差,41.0,0.356,正,否,不动,15.9,未出手,观望,未出手,0.0
2026-08-02,16:00,正偏差,32.5,0.356,正,否,不动,21.7,未出手,观望,未出手,0.0
2026-08-02,17:00,正偏差,38.0,0.348,不明,否,不动,11.2,未出手,观望,未出手,0.0
