日期,小时,模型方向,量级(元/MWh),置信度,小时先验,是否出手,交易建议,实际价差(元/MWh),方向核对,套利时机,套利结果,套利盈亏(元/MWh)
2026-07-22,00:00,中性,14.9,0.63,负,否,不动,0.0,未出手,观望,未出手,0.0
2026-07-22,01:00,中性,11.8,0.541,负,否,不动,1.7,未出手,观望,未出手,0.0
2026-07-22,02:00,中性,11.1,0.637,不明,否,不动,1.7,未出手,观望,未出手,0.0
2026-07-22,03:00,中性,10.7,0.68,正,否,不动,1.5,未出手,观望,未出手,0.0
2026-07-22,04:00,中性,10.0,0.803,正,否,不动,9.8,未出手,观望,未出手,0.0
2026-07-22,05:00,中性,12.5,0.77,正,否,不动,2.2,未出手,观望,未出手,0.0
2026-07-22,06:00,中性,15.2,0.756,不明,否,不动,8.2,未出手,观望,未出手,0.0
2026-07-22,07:00,中性,22.7,0.664,不明,否,不动,-2.6,未出手,观望,未出手,0.0
2026-07-22,08:00,负偏差,30.4,0.463,不明,否,不动,-6.7,未出手,观望,未出手,0.0
2026-07-22,09:00,中性,22.1,0.509,正,否,不动,54.1,未出手,观望,错过 +54.1,0.0
2026-07-22,10:00,中性,22.9,0.466,正,否,不动,21.1,未出手,观望,未出手,0.0
2026-07-22,11:00,中性,26.3,0.584,正,否,不动,-13.9,未出手,观望,未出手,0.0
2026-07-22,12:00,中性,22.1,0.595,正,否,不动,-24.0,未出手,观望,未出手,0.0
2026-07-22,13:00,中性,20.4,0.595,不明,否,不动,-44.2,未出手,观望,未出手,0.0
2026-07-22,14:00,中性,18.0,0.585,正,否,不动,-23.4,未出手,观望,未出手,0.0
2026-07-22,15:00,中性,15.3,0.485,正,否,不动,15.9,未出手,观望,未出手,0.0
2026-07-22,16:00,中性,21.8,0.486,正,否,不动,32.9,未出手,观望,未出手,0.0
2026-07-22,17:00,中性,29.2,0.483,不明,否,不动,18.9,未出手,观望,未出手,0.0
2026-07-22,18:00,中性,37.1,0.561,不明,否,不动,-23.1,未出手,观望,未出手,0.0
2026-07-22,19:00,中性,53.9,0.512,正,是,日前卖/实时买,-28.1,实际中性,日前卖,中性 -28.1,-28.1
2026-07-22,20:00,中性,40.8,0.495,不明,否,不动,-29.0,未出手,观望,未出手,0.0
2026-07-22,21:00,中性,47.1,0.546,负,否,不动,-27.6,未出手,观望,未出手,0.0
2026-07-22,22:00,中性,30.6,0.659,不明,否,不动,-6.9,未出手,观望,未出手,0.0
2026-07-22,23:00,中性,20.3,0.732,不明,否,不动,-14.9,未出手,观望,未出手,0.0
2026-07-23,00:00,中性,22.3,0.673,负,否,不动,-139.1,未出手,观望,错过 -139.1,0.0
2026-07-23,01:00,中性,27.6,0.67,负,否,不动,-36.9,未出手,观望,未出手,0.0
2026-07-23,02:00,中性,16.2,0.681,不明,否,不动,-14.3,未出手,观望,未出手,0.0
2026-07-23,03:00,中性,16.5,0.655,正,否,不动,-8.2,未出手,观望,未出手,0.0
2026-07-23,04:00,中性,13.4,0.802,正,否,不动,-3.7,未出手,观望,未出手,0.0
2026-07-23,05:00,中性,8.6,0.858,正,否,不动,3.9,未出手,观望,未出手,0.0
2026-07-23,06:00,中性,11.2,0.823,不明,否,不动,0.9,未出手,观望,未出手,0.0
2026-07-23,07:00,中性,20.8,0.703,不明,否,不动,-8.7,未出手,观望,未出手,0.0
2026-07-23,08:00,中性,13.6,0.503,不明,否,不动,18.4,未出手,观望,未出手,0.0
2026-07-23,09:00,中性,15.4,0.66,正,否,不动,35.4,未出手,观望,未出手,0.0
2026-07-23,10:00,中性,15.6,0.624,正,否,不动,16.7,未出手,观望,未出手,0.0
2026-07-23,11:00,中性,19.9,0.61,正,否,不动,0.6,未出手,观望,未出手,0.0
2026-07-23,12:00,中性,15.1,0.65,正,否,不动,-30.2,未出手,观望,未出手,0.0
2026-07-23,13:00,中性,17.6,0.518,不明,否,不动,-9.6,未出手,观望,未出手,0.0
2026-07-23,14:00,中性,15.6,0.445,正,否,不动,-26.1,未出手,观望,未出手,0.0
2026-07-23,15:00,中性,14.1,0.498,正,否,不动,-10.9,未出手,观望,未出手,0.0
2026-07-23,16:00,中性,21.2,0.483,正,否,不动,-30.1,未出手,观望,未出手,0.0
2026-07-23,17:00,中性,31.4,0.463,不明,否,不动,-13.3,未出手,观望,未出手,0.0
2026-07-23,18:00,中性,44.4,0.531,不明,否,不动,-31.3,未出手,观望,未出手,0.0
2026-07-23,19:00,负偏差,83.4,0.447,正,是,日前卖/实时买,-33.8,实际中性,日前卖,中性 -33.8,-33.8
2026-07-23,20:00,负偏差,80.6,0.498,不明,否,不动,-22.8,未出手,观望,未出手,0.0
2026-07-23,21:00,负偏差,53.9,0.472,负,是,日前买/实时卖,-13.0,实际中性,日前买,中性 -13.0,13.0
2026-07-23,22:00,中性,32.7,0.609,不明,否,不动,-30.4,未出手,观望,未出手,0.0
2026-07-23,23:00,中性,40.1,0.723,不明,否,不动,-28.8,未出手,观望,未出手,0.0
2026-07-24,00:00,中性,31.7,0.577,负,否,不动,-156.3,未出手,观望,错过 -156.3,0.0
2026-07-24,01:00,中性,24.9,0.534,负,否,不动,-34.3,未出手,观望,未出手,0.0
