日期,小时,模型方向,量级(元/MWh),置信度,小时先验,是否出手,交易建议,实际价差(元/MWh),方向核对,套利时机,套利结果,套利盈亏(元/MWh)
2026-07-24,02:00,中性,21.2,0.624,不明,否,不动,-1.8,未出手,观望,未出手,0.0
2026-07-24,03:00,中性,21.0,0.702,正,否,不动,-0.2,未出手,观望,未出手,0.0
2026-07-24,04:00,中性,20.8,0.701,正,否,不动,-0.4,未出手,观望,未出手,0.0
2026-07-24,05:00,中性,19.8,0.826,正,否,不动,2.2,未出手,观望,未出手,0.0
2026-07-24,06:00,中性,18.7,0.837,不明,否,不动,2.1,未出手,观望,未出手,0.0
2026-07-24,07:00,中性,24.6,0.752,不明,否,不动,-8.2,未出手,观望,未出手,0.0
2026-07-24,08:00,中性,24.8,0.623,不明,否,不动,-35.9,未出手,观望,未出手,0.0
2026-07-24,09:00,中性,22.9,0.606,正,否,不动,-33.5,未出手,观望,未出手,0.0
2026-07-24,10:00,中性,30.2,0.666,正,否,不动,-48.3,未出手,观望,未出手,0.0
2026-07-24,11:00,中性,36.6,0.702,正,否,不动,0.3,未出手,观望,未出手,0.0
2026-07-24,12:00,中性,27.7,0.666,正,否,不动,25.3,未出手,观望,未出手,0.0
2026-07-24,13:00,中性,38.2,0.581,不明,否,不动,29.9,未出手,观望,未出手,0.0
2026-07-24,14:00,中性,26.5,0.569,正,否,不动,-5.3,未出手,观望,未出手,0.0
2026-07-24,15:00,中性,19.3,0.606,正,否,不动,10.5,未出手,观望,未出手,0.0
2026-07-24,16:00,中性,24.5,0.603,正,否,不动,51.3,未出手,观望,错过 +51.3,0.0
2026-07-24,17:00,中性,33.1,0.588,不明,否,不动,13.0,未出手,观望,未出手,0.0
2026-07-24,18:00,中性,48.7,0.677,不明,否,不动,33.6,未出手,观望,未出手,0.0
2026-07-24,19:00,中性,51.8,0.625,正,是,日前卖/实时买,20.6,实际中性,日前卖,中性 +20.6,20.6
2026-07-24,20:00,中性,63.2,0.557,不明,否,不动,53.7,未出手,观望,错过 +53.7,0.0
2026-07-24,21:00,中性,48.3,0.574,负,否,不动,121.5,未出手,观望,错过 +121.5,0.0
2026-07-24,22:00,中性,50.5,0.622,不明,否,不动,80.7,未出手,观望,错过 +80.7,0.0
2026-07-24,23:00,中性,38.8,0.728,不明,否,不动,1.8,未出手,观望,未出手,0.0
2026-07-25,00:00,中性,48.1,0.687,负,否,不动,-9.0,未出手,观望,未出手,0.0
2026-07-25,01:00,中性,44.0,0.648,负,否,不动,64.5,未出手,观望,错过 +64.5,0.0
2026-07-25,02:00,中性,47.3,0.719,不明,否,不动,4.2,未出手,观望,未出手,0.0
2026-07-25,03:00,中性,31.9,0.745,正,否,不动,-1.6,未出手,观望,未出手,0.0
2026-07-25,04:00,中性,38.2,0.711,正,否,不动,-6.4,未出手,观望,未出手,0.0
2026-07-25,05:00,中性,27.7,0.78,正,否,不动,-1.4,未出手,观望,未出手,0.0
2026-07-25,06:00,中性,25.5,0.782,不明,否,不动,-0.8,未出手,观望,未出手,0.0
2026-07-25,07:00,中性,25.0,0.74,不明,否,不动,1.3,未出手,观望,未出手,0.0
2026-07-25,08:00,中性,21.5,0.677,不明,否,不动,22.6,未出手,观望,未出手,0.0
2026-07-25,09:00,中性,24.1,0.605,正,否,不动,116.5,未出手,观望,错过 +116.5,0.0
2026-07-25,10:00,中性,26.0,0.596,正,否,不动,123.7,未出手,观望,错过 +123.7,0.0
2026-07-25,11:00,中性,39.8,0.519,正,否,不动,98.9,未出手,观望,错过 +98.9,0.0
2026-07-25,12:00,中性,31.9,0.511,正,否,不动,107.3,未出手,观望,错过 +107.3,0.0
2026-07-25,13:00,中性,26.4,0.472,不明,否,不动,55.1,未出手,观望,错过 +55.1,0.0
2026-07-25,14:00,中性,25.0,0.44,正,否,不动,79.6,未出手,观望,错过 +79.6,0.0
2026-07-25,15:00,中性,26.6,0.532,正,否,不动,58.9,未出手,观望,错过 +58.9,0.0
2026-07-25,16:00,中性,29.5,0.542,正,否,不动,82.2,未出手,观望,错过 +82.2,0.0
2026-07-25,17:00,中性,30.2,0.546,不明,否,不动,142.1,未出手,观望,错过 +142.1,0.0
2026-07-25,18:00,中性,40.7,0.617,不明,否,不动,169.9,未出手,观望,错过 +169.9,0.0
2026-07-25,19:00,中性,40.7,0.551,正,否,不动,197.9,未出手,观望,错过 +197.9,0.0
2026-07-25,20:00,中性,42.4,0.65,不明,否,不动,186.2,未出手,观望,错过 +186.2,0.0
2026-07-25,21:00,中性,51.3,0.602,负,是,日前买/实时卖,153.1,错·实际正,日前买,亏损 -153.1,-153.1
2026-07-25,22:00,中性,27.7,0.716,不明,否,不动,120.6,未出手,观望,错过 +120.6,0.0
2026-07-25,23:00,中性,22.4,0.779,不明,否,不动,61.4,未出手,观望,错过 +61.4,0.0
2026-07-26,00:00,中性,21.5,0.648,负,否,不动,-194.0,未出手,观望,错过 -194.0,0.0
2026-07-26,01:00,中性,20.6,0.673,负,否,不动,-70.2,未出手,观望,错过 -70.2,0.0
2026-07-26,02:00,中性,24.2,0.688,不明,否,不动,-38.6,未出手,观望,未出手,0.0
2026-07-26,03:00,中性,21.7,0.72,正,否,不动,-33.4,未出手,观望,未出手,0.0
2026-07-26,04:00,中性,21.5,0.83,正,否,不动,-15.2,未出手,观望,未出手,0.0
2026-07-26,05:00,中性,25.4,0.829,正,否,不动,-15.7,未出手,观望,未出手,0.0
2026-07-26,06:00,中性,14.2,0.794,不明,否,不动,-31.8,未出手,观望,未出手,0.0
2026-07-26,07:00,中性,18.2,0.703,不明,否,不动,-53.8,未出手,观望,错过 -53.8,0.0
2026-07-26,08:00,中性,22.4,0.624,不明,否,不动,2.4,未出手,观望,未出手,0.0
2026-07-26,09:00,中性,33.1,0.661,正,否,不动,14.4,未出手,观望,未出手,0.0
2026-07-26,10:00,中性,32.7,0.525,正,否,不动,40.9,未出手,观望,未出手,0.0
2026-07-26,11:00,中性,40.6,0.587,正,否,不动,-41.3,未出手,观望,未出手,0.0
2026-07-26,12:00,中性,41.0,0.564,正,否,不动,-33.3,未出手,观望,未出手,0.0
2026-07-26,13:00,中性,35.8,0.581,不明,否,不动,29.6,未出手,观望,未出手,0.0
2026-07-26,14:00,中性,35.0,0.54,正,否,不动,108.0,未出手,观望,错过 +108.0,0.0
2026-07-26,15:00,中性,35.4,0.494,正,否,不动,175.4,未出手,观望,错过 +175.4,0.0
2026-07-26,16:00,中性,31.6,0.517,正,否,不动,222.6,未出手,观望,错过 +222.6,0.0
2026-07-26,17:00,中性,32.7,0.499,不明,否,不动,206.0,未出手,观望,错过 +206.0,0.0
2026-07-26,18:00,中性,36.2,0.55,不明,否,不动,171.6,未出手,观望,错过 +171.6,0.0
2026-07-26,19:00,中性,30.2,0.679,正,否,不动,94.7,未出手,观望,错过 +94.7,0.0
2026-07-26,20:00,中性,28.8,0.653,不明,否,不动,54.2,未出手,观望,错过 +54.2,0.0
2026-07-26,21:00,中性,27.0,0.523,负,否,不动,21.8,未出手,观望,未出手,0.0
2026-07-26,22:00,负偏差,29.1,0.492,不明,否,不动,40.5,未出手,观望,未出手,0.0
2026-07-26,23:00,中性,34.9,0.586,不明,否,不动,42.6,未出手,观望,未出手,0.0
2026-07-27,00:00,中性,27.4,0.576,负,否,不动,-14.7,未出手,观望,未出手,0.0
2026-07-27,01:00,中性,25.7,0.691,负,否,不动,0.1,未出手,观望,未出手,0.0
2026-07-27,02:00,中性,30.0,0.64,不明,否,不动,2.9,未出手,观望,未出手,0.0
2026-07-27,03:00,中性,25.8,0.737,正,否,不动,12.7,未出手,观望,未出手,0.0
2026-07-27,04:00,中性,27.7,0.805,正,否,不动,-7.0,未出手,观望,未出手,0.0
2026-07-27,05:00,中性,30.8,0.79,正,否,不动,2.7,未出手,观望,未出手,0.0
2026-07-27,06:00,中性,36.8,0.712,不明,否,不动,-3.1,未出手,观望,未出手,0.0
2026-07-27,07:00,中性,49.9,0.634,不明,否,不动,-3.3,未出手,观望,未出手,0.0
2026-07-27,08:00,中性,51.6,0.533,不明,否,不动,-15.7,未出手,观望,未出手,0.0
2026-07-27,09:00,中性,48.8,0.527,正,否,不动,6.3,未出手,观望,未出手,0.0
2026-07-27,10:00,中性,40.7,0.406,正,否,不动,11.7,未出手,观望,未出手,0.0
2026-07-27,11:00,负偏差,34.0,0.425,正,否,不动,35.0,未出手,观望,未出手,0.0
2026-07-27,12:00,中性,33.3,0.492,正,否,不动,20.8,未出手,观望,未出手,0.0
2026-07-27,13:00,中性,35.2,0.442,不明,否,不动,5.3,未出手,观望,未出手,0.0
2026-07-27,14:00,中性,35.8,0.5,正,否,不动,5.3,未出手,观望,未出手,0.0
2026-07-27,15:00,中性,37.4,0.482,正,否,不动,-9.8,未出手,观望,未出手,0.0
2026-07-27,16:00,中性,55.0,0.479,正,是,日前卖/实时买,32.9,实际中性,日前卖,中性 +32.9,32.9
2026-07-27,17:00,中性,48.3,0.439,不明,否,不动,29.6,未出手,观望,未出手,0.0
2026-07-27,18:00,中性,36.9,0.558,不明,否,不动,-10.7,未出手,观望,未出手,0.0
2026-07-27,19:00,中性,59.0,0.56,正,是,日前卖/实时买,-2.3,实际中性,日前卖,中性 -2.3,-2.3
2026-07-27,20:00,中性,45.9,0.517,不明,否,不动,-1.2,未出手,观望,未出手,0.0
2026-07-27,21:00,中性,64.5,0.552,负,是,日前买/实时卖,-13.8,实际中性,日前买,中性 -13.8,13.8
2026-07-27,22:00,中性,42.3,0.642,不明,否,不动,-16.1,未出手,观望,未出手,0.0
2026-07-27,23:00,中性,23.4,0.641,不明,否,不动,-10.0,未出手,观望,未出手,0.0
