日期,小时,模型方向,量级(元/MWh),置信度,小时先验,是否出手,交易建议,实际价差(元/MWh),方向核对,套利时机,套利结果,套利盈亏(元/MWh)
2026-07-16,00:00,中性,33.1,0.576,负,否,不动,0.6,未出手,观望,未出手,0.0
2026-07-16,01:00,中性,32.7,0.722,负,否,不动,7.1,未出手,观望,未出手,0.0
2026-07-16,02:00,中性,13.4,0.785,不明,否,不动,15.7,未出手,观望,未出手,0.0
2026-07-16,03:00,中性,17.3,0.942,正,否,不动,3.7,未出手,观望,未出手,0.0
2026-07-16,04:00,中性,18.2,0.942,正,否,不动,16.8,未出手,观望,未出手,0.0
2026-07-16,05:00,中性,16.7,0.932,正,否,不动,39.2,未出手,观望,未出手,0.0
2026-07-16,06:00,中性,22.6,0.921,不明,否,不动,25.1,未出手,观望,未出手,0.0
2026-07-16,07:00,中性,16.5,0.893,不明,否,不动,37.0,未出手,观望,未出手,0.0
2026-07-16,08:00,中性,20.7,0.859,不明,否,不动,-21.6,未出手,观望,未出手,0.0
2026-07-16,09:00,中性,28.6,0.781,正,否,不动,-43.5,未出手,观望,未出手,0.0
2026-07-16,10:00,中性,22.6,0.779,正,否,不动,-45.2,未出手,观望,未出手,0.0
2026-07-16,11:00,中性,26.5,0.62,正,否,不动,-45.9,未出手,观望,未出手,0.0
2026-07-16,12:00,中性,22.7,0.764,正,否,不动,-37.9,未出手,观望,未出手,0.0
2026-07-16,13:00,中性,33.4,0.652,不明,否,不动,-12.5,未出手,观望,未出手,0.0
2026-07-16,14:00,中性,22.9,0.601,正,否,不动,-8.5,未出手,观望,未出手,0.0
2026-07-16,15:00,中性,19.0,0.665,正,否,不动,-5.8,未出手,观望,未出手,0.0
2026-07-16,16:00,中性,29.5,0.673,正,否,不动,74.2,未出手,观望,错过 +74.2,0.0
2026-07-16,17:00,中性,30.4,0.811,不明,否,不动,61.0,未出手,观望,错过 +61.0,0.0
2026-07-16,18:00,中性,29.1,0.82,不明,否,不动,36.2,未出手,观望,未出手,0.0
2026-07-16,19:00,中性,68.7,0.546,正,是,日前卖/实时买,70.8,对·实际正,日前卖,盈利 +70.8,70.8
2026-07-16,20:00,中性,78.5,0.48,不明,否,不动,34.2,未出手,观望,未出手,0.0
2026-07-16,21:00,负偏差,80.8,0.574,负,是,日前买/实时卖,40.9,实际中性,日前买,中性 +40.9,-40.9
2026-07-16,22:00,负偏差,61.3,0.45,不明,否,不动,7.8,未出手,观望,未出手,0.0
